index	token	valid	plot_index
0	[CLS]	0	-1
1	protein	1	0
2	name	1	1
3	:	1	2
4	high	1	3
5	osmolarity	1	4
6	signaling	1	5
7	protein	1	6
8	sho	1	7
9	##1	1	8
10	.	1	9
11	function	1	10
12	:	1	11
13	plasma	1	12
14	membrane	1	13
15	osm	1	14
16	##osens	1	15
17	##or	1	16
18	that	1	17
19	activates	1	18
20	the	1	19
21	high	1	20
22	osmolarity	1	21
23	glycerol	1	22
24	(	1	23
25	ho	1	24
26	##g	1	25
27	)	1	26
28	mapk	1	27
29	signaling	1	28
30	pathway	1	29
31	in	1	30
32	response	1	31
33	to	1	32
34	high	1	33
35	osmolarity	1	34
36	.	1	35
37	detects	1	36
38	changes	1	37
39	in	1	38
40	external	1	39
41	osmolarity	1	40
42	and	1	41
43	activates	1	42
44	pbs	1	43
45	##2	1	44
46	through	1	45
47	the	1	46
48	stimulation	1	47
49	of	1	48
50	ste	1	49
51	##11	1	50
52	and	1	51
53	targets	1	52
54	pbs	1	53
55	##2	1	54
56	to	1	55
57	the	1	56
58	plasma	1	57
59	membrane	1	58
60	.	1	59
61	pbs	1	60
62	##2	1	61
63	activation	1	62
64	leads	1	63
65	to	1	64
66	changes	1	65
67	in	1	66
68	glycerol	1	67
69	production	1	68
70	that	1	69
71	helps	1	70
72	to	1	71
73	balance	1	72
74	the	1	73
75	intracellular	1	74
76	and	1	75
77	external	1	76
78	osmotic	1	77
79	pressures	1	78
80	.	1	79
81	activates	1	80
82	also	1	81
83	ho	1	82
84	##g1	1	83
85	in	1	84
86	response	1	85
87	to	1	86
88	heat	1	87
89	stress	1	88
90	and	1	89
91	mediates	1	90
92	resistance	1	91
93	to	1	92
94	oxidative	1	93
95	stress	1	94
96	.	1	95
97	involved	1	96
98	in	1	97
99	the	1	98
100	regulation	1	99
101	of	1	100
102	the	1	101
103	mating	1	102
104	pathway	1	103
105	.	1	104
106	may	1	105
107	be	1	106
108	a	1	107
109	receptor	1	108
110	that	1	109
111	feeds	1	110
112	into	1	111
113	the	1	112
114	pseudo	1	113
115	##hy	1	114
116	##phal	1	115
117	growth	1	116
118	pathway	1	117
119	(	1	118
120	by	1	119
121	similarity	1	120
122	)	1	121
123	.	1	122
124	subunit	1	123
125	:	1	124
126	forms	1	125
127	homo	1	126
128	##oli	1	127
129	##go	1	128
130	##mers	1	129
131	(	1	130
132	by	1	131
133	similarity	1	132
134	)	1	133
135	.	1	134
136	interacts	1	135
137	(	1	136
138	via	1	137
139	the	1	138
140	sh	1	139
141	##3	1	140
142	domain	1	141
143	)	1	142
144	with	1	143
145	pbs	1	144
146	##2	1	145
147	.	1	146
148	interacts	1	147
149	with	1	148
150	fus	1	149
151	##1	1	150
152	,	1	151
153	ste	1	152
154	##11	1	153
155	,	1	154
156	ste	1	155
157	##50	1	156
158	and	1	157
159	rna	1	158
160	polymerase	1	159
161	ii	1	160
162	(	1	161
163	by	1	162
164	similarity	1	163
165	)	1	164
166	.	1	165
167	subcellular	1	166
168	location	1	167
169	:	1	168
170	cell	1	169
171	membrane	1	170
172	;	1	171
173	multi	1	172
174	-	1	173
175	pass	1	174
176	membrane	1	175
177	protein	1	176
178	.	1	177
179	bud	1	178
180	.	1	179
181	bud	1	180
182	neck	1	181
183	.	1	182
184	cell	1	183
185	projection	1	184
186	.	1	185
187	similarity	1	186
188	:	1	187
189	belongs	1	188
190	to	1	189
191	the	1	190
192	sho	1	191
193	##1	1	192
194	family	1	193
195	.	1	194
196	gene	1	195
197	ontology	1	196
198	:	1	197
199	cell	1	198
200	projection	1	199
201	,	1	200
202	cellular	1	201
203	bud	1	202
204	neck	1	203
205	,	1	204
206	plasma	1	205
207	membrane	1	206
208	,	1	207
209	osm	1	208
210	##osensory	1	209
211	signaling	1	210
212	pathway	1	211
213	via	1	212
214	sho	1	213
215	##1	1	214
216	osm	1	215
217	##osens	1	216
218	##or	1	217
219	,	1	218
220	regulation	1	219
221	of	1	220
222	actin	1	221
223	filament	1	222
224	polymerization	1	223
225	.	1	224
226	lineage	1	225
227	:	1	226
228	the	1	227
229	organism	1	228
230	lineage	1	229
231	is	1	230
232	eukary	1	231
233	##ota	1	232
234	,	1	233
235	fungi	1	234
236	,	1	235
237	di	1	236
238	##kary	1	237
239	##a	1	238
240	,	1	239
241	asc	1	240
242	##omyc	1	241
243	##ota	1	242
244	,	1	243
245	sacch	1	244
246	##aro	1	245
247	##my	1	246
248	##co	1	247
249	##tina	1	248
250	,	1	249
251	sacch	1	250
252	##aro	1	251
253	##my	1	252
254	##cet	1	253
255	##es	1	254
256	,	1	255
257	sacch	1	256
258	##aro	1	257
259	##my	1	258
260	##cet	1	259
261	##ales	1	260
262	,	1	261
263	sacch	1	262
264	##aro	1	263
265	##my	1	264
266	##cet	1	265
267	##aceae	1	266
268	,	1	267
269	saccharomyces	1	268
270	.	1	269
271	family	1	270
272	names	1	271
273	:	1	272
274	family	1	273
275	names	1	274
276	are	1	275
277	sh	1	276
278	##3	1	277
279	domain	1	278
280	.	1	279
281	[SEP]	0	-1
